# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
apb4	Racing / Action	1	vertical	apb	APB - All Points Bulletin (rev 4)	1987	Atari Games
apb5	Racing / Action	1	vertical	apb	APB - All Points Bulletin (rev 5)	1987	Atari Games
apb6	Racing / Action	1	vertical	apb	APB - All Points Bulletin (rev 6)	1987	Atari Games
apbf	Racing / Action	1	vertical	apb	APB - All Points Bulletin (French)	1987	Atari Games
apbg	Racing / Action	1	vertical	apb	APB - All Points Bulletin (German)	1987	Atari Games
aponow	Horizontal shooter	2	vertical	rescue	Apocaljpse Now (bootleg of Rescue)	1982	bootleg
appoooh	Fighting	2	horizontal		Appoooh	1984	Sanritsu / Sega
aquajack	Shooter	2	horizontal		Aqua Jack (World)	1990	Taito Corporation Japan
aquajackj	Shooter	2	horizontal	aquajack	Aqua Jack (Japan)	1990	Taito Corporation
aquajacku	Shooter	2	horizontal	aquajack	Aqua Jack (US)	1990	Taito America Corporation
aquario	Platform	2	horizontal		Clockwork Aquario (prototype)	2021	Sega / Westone
aquarium	Puzzle	2	horizontal		Aquarium (US)	1996	Excellent System
aquariumj	Puzzle	2	horizontal	aquarium	Aquarium (Japan)	1996	Excellent System
arabfgt	Beat 'em up	4	horizontal		Arabian Fight (World)	1991	Sega
arabfgtj	Beat 'em up	4	horizontal	arabfgt	Arabian Fight (Japan)	1991	Sega
arabfgtu	Beat 'em up	4	horizontal	arabfgt	Arabian Fight (US)	1991	Sega
arabian	Platform	2	vertical		Arabian	1983	Sun Electronics
arabiana	Platform	2	vertical	arabian	Arabian (Atari)	1983	Sun Electronics (Atari license)
arabianm	Beat 'em up	2	horizontal		Arabian Magic (Ver 1.0O 1992/07/06)	1992	Taito Corporation Japan
arabianmj	Beat 'em up	2	horizontal	arabianm	Arabian Magic (Ver 1.0J 1992/07/06)	1992	Taito Corporation
arabianmu	Beat 'em up	2	horizontal	arabianm	Arabian Magic (Ver 1.0A 1992/07/06)	1992	Taito America Corporation
aracnis	Horizontal shooter	2	vertical	scorpion	Aracnis (bootleg of Scorpion on Moon Cresta hardware, set 1)	19??	bootleg
arbalest	Vertical shooter	2	vertical		Arbalester	1989	Jordan I.S. / Seta
arcadecl	Misc	2	horizontal		Arcade Classics (prototype)	1992	Atari Games
arcadian	Vertical shooter	2	vertical		Arcadia (NMK)	1994	NMK
archrivl	Sports	2	horizontal		Arch Rivals (rev 4.0 6/29/89)	1989	Bally Midway
archrivla	Sports	2	horizontal	archrivl	Arch Rivals (rev 2.0 5/03/89)	1989	Bally Midway
archrivlb	Sports	2	horizontal	archrivl	Arch Rivals (rev 2.0 5/03/89, 8-way joystick bootleg)	1989	bootleg
area88	Horizontal shooter	2	horizontal	unsquad	Area 88 (Japan)	1989	Daipro (Capcom license)
area88r	Horizontal shooter	2	horizontal	unsquad	Area 88 (Japan Resale Ver.)	1989	Daipro (Capcom license)
arescue	Shooter	1	horizontal		Air Rescue (World)	1992	Sega
arescuej	Shooter	1	horizontal	arescue	Air Rescue (Japan)	1992	Sega
arescueu	Shooter	1	horizontal	arescue	Air Rescue (US)	1992	Sega
argus	Vertical shooter	2	vertical		Argus	1986	NMK (Jaleco license)
argusg	Shooter	2	horizontal		Argus (Gottlieb, prototype)	1984	Gottlieb
arian	Vertical shooter	2	vertical	aso	Arian Mission	1985	SNK
ark1ball	Breakout	2	vertical	arkanoid	Arkanoid (bootleg with MCU, harder)	1986	bootleg
ark1balla	Breakout	2	vertical	arkanoid	Arkanoid (bootleg with MCU, harder, alt)	1986	bootleg
arkaboot	Breakout	2	vertical	arkanoid	Arkanoid (bootleg of version Japan, older)	1986	bootleg
arkangc	Breakout	2	vertical	arkanoid	Arkanoid (Game Corporation bootleg, set 1)	1986	bootleg (Game Corporation)
arkangc2	Breakout	2	vertical	arkanoid	Arkanoid (Game Corporation bootleg, set 2)	1986	bootleg (Game Corporation)
arkanoid	Breakout	2	vertical		Arkanoid (World, older)	1986	Taito Corporation Japan
arkanoidj	Breakout	2	vertical	arkanoid	Arkanoid (Japan, newer)	1986	Taito Corporation
arkanoidja	Breakout	2	vertical	arkanoid	Arkanoid (Japan, newer w/level select)	1986	Taito Corporation
arkanoidjb	Breakout	2	vertical	arkanoid	Arkanoid (Japan, older)	1986	Taito Corporation
arkanoidjbl	Breakout	2	vertical	arkanoid	Arkanoid (bootleg with MCU, set 1)	1986	bootleg
arkanoidjbl2	Breakout	2	vertical	arkanoid	Arkanoid (bootleg with MCU, set 2)	1986	bootleg (Beta)
arkanoidjbla	Breakout	2	vertical	arkanoid	Arkanoid (bootleg with MCU, alt)	1986	bootleg
arkanoidpe	Breakout	2	vertical	arkanoid	Arkanoid (Phoenix Electronics Co. license)	1986	Taito Corporation (Phoenix Electronics Co. license)
arkanoidu	Breakout	2	vertical	arkanoid	Arkanoid (US, newer)	1986	Taito America Corporation (Romstar license)
arkanoiduo	Breakout	2	vertical	arkanoid	Arkanoid (US, older)	1986	Taito America Corporation (Romstar license)
arkarea	Shooter	2	horizontal		Ark Area	1988	UPL
arkatayt	Breakout	2	vertical	arkanoid	Arkanoid (Tayto bootleg)	1986	bootleg (Tayto)
arkatour	Breakout	2	vertical		Tournament Arkanoid (US, older)	1987	Taito America Corporation (Romstar license)
arkbloc2	Breakout	2	vertical	arkanoid	Block (Game Corporation bootleg, set 2)	1986	bootleg (Game Corporation)
arkblock	Breakout	2	vertical	arkanoid	Block (Game Corporation bootleg, set 1)	1986	bootleg (Game Corporation)
arkgcbl	Breakout	2	vertical	arkanoid	Arkanoid (bootleg on Block hardware, set 1)	1986	bootleg
arkgcbla	Breakout	2	vertical	arkanoid	Arkanoid (bootleg on Block hardware, set 2)	1986	bootleg
arknoid2	Breakout	2	vertical		Arkanoid - Revenge of DOH (World)	1987	Taito Corporation Japan
arknoid2b	Breakout	2	vertical	arknoid2	Arkanoid - Revenge of DOH (Japan bootleg)	1987	bootleg
arknoid2j	Breakout	2	vertical	arknoid2	Arkanoid - Revenge of DOH (Japan)	1987	Taito Corporation
arknoid2u	Breakout	2	vertical	arknoid2	Arkanoid - Revenge of DOH (US)	1987	Taito America Corporation (Romstar license)
arkretrn	Breakout	2	horizontal		Arkanoid Returns (Ver 2.02O 1997/02/10)	1997	Taito Corporation
arkretrnj	Breakout	2	horizontal	arkretrn	Arkanoid Returns (Ver 2.02J 1997/02/10)	1997	Taito Corporation
arkretrnu	Breakout	2	horizontal	arkretrn	Arkanoid Returns (Ver 2.02A 1997/02/10)	1997	Taito Corporation
arktayt2	Breakout	2	vertical	arkanoid	Arkanoid (Tayto bootleg, harder)	1986	bootleg (Tayto)
arlingtn	Misc	2	horizontal		Arlington Horse Racing (v1.40-D)	1991	Strata / Incredible Technologies
arlingtna	Misc	2	horizontal	arlingtn	Arlington Horse Racing (v1.21-D)	1991	Strata / Incredible Technologies
arlingtni	Misc	2	horizontal	arlingtn	Arlington Horse Racing (v1.21-I)	1991	Strata / Incredible Technologies
armedf	Vertical shooter	2	vertical		Armed F (Japan)	1988	Nichibutsu
armedff	Vertical shooter	2	vertical	armedf	Armed F (Fillmore license)	1988	Nichibutsu (Fillmore license)
armorcar	Maze	2	vertical		Armored Car (set 1)	1981	Stern Electronics
armorcar2	Maze	2	vertical	armorcar	Armored Car (set 2)	1981	Stern Electronics
armwar	Beat 'em up	3	horizontal		Armored Warriors (Europe 941024)	1994	Capcom
armwar1d	Beat 'em up	3	horizontal	armwar	Armored Warriors (Europe 941011 Phoenix Edition) (bootleg)	1994	bootleg
armwara	Beat 'em up	3	horizontal	armwar	Armored Warriors (Asia 941024)	1994	Capcom
armwarar1	Beat 'em up	3	horizontal	armwar	Armored Warriors (Asia 940920)	1994	Capcom
armwarb	Beat 'em up	3	horizontal	armwar	Armored Warriors (Brazil 941024)	1994	Capcom
armwarr1	Beat 'em up	3	horizontal	armwar	Armored Warriors (Europe 941011)	1994	Capcom
armwaru	Beat 'em up	3	horizontal	armwar	Armored Warriors (USA 941024)	1994	Capcom
armwaru1	Beat 'em up	3	horizontal	armwar	Armored Warriors (USA 940920)	1994	Capcom
armwrest	Sports	2	horizontal		Arm Wrestling	1985	Nintendo
ashnojoe	Fighting	2	horizontal	scessjoe	Ashita no Joe (Japan)	1990	Taito Corporation / Wave
ashura	Vertical shooter	2	vertical		Ashura Blaster (World)	1990	Taito Corporation Japan
ashuraj	Vertical shooter	2	vertical	ashura	Ashura Blaster (Japan)	1990	Taito Corporation
ashurau	Vertical shooter	2	vertical	ashura	Ashura Blaster (US)	1990	Taito America Corporation
asideral	Vertical shooter	2	vertical	uniwars	Ataque Sideral (Spanish bootleg of UniWar S)	1980	bootleg (Electrogame S.A.)
aso	Vertical shooter	2	vertical		ASO - Armored Scrum Object	1985	SNK
assault	Vertical shooter	2	vertical		Assault (Rev B)	1988	Namco
assaultj	Vertical shooter	2	vertical	assault	Assault (Japan)	1988	Namco
assaultp	Vertical shooter	2	vertical	assault	Assault Plus (Japan)	1988	Namco
astdelux	Shooter / Vector	2	horizontal		Asteroids Deluxe (rev 3)	1980	Atari
astdelux1	Shooter / Vector	2	horizontal	astdelux	Asteroids Deluxe (rev 1)	1980	Atari
astdelux2	Shooter / Vector	2	horizontal	astdelux	Asteroids Deluxe (rev 2)	1980	Atari
asterix	Beat 'em up	2	horizontal		Asterix (ver EAD)	1992	Konami
asterixaad	Beat 'em up	2	horizontal	asterix	Asterix (ver AAD)	1992	Konami
asterixeaa	Beat 'em up	2	horizontal	asterix	Asterix (ver EAA)	1992	Konami
asterixeac	Beat 'em up	2	horizontal	asterix	Asterix (ver EAC)	1992	Konami
asterixj	Beat 'em up	2	horizontal	asterix	Asterix (ver JAD)	1992	Konami
asterock	Shooter / Vector	2	horizontal	asteroid	Asterock (Sidam bootleg of Asteroids)	1979	bootleg (Sidam)
asterockv	Shooter / Vector	2	horizontal	asteroid	Asterock (Videotron bootleg of Asteroids)	1979	bootleg (Videotron)
asteroid	Shooter / Vector	2	horizontal		Asteroids (rev 4)	1979	Atari
asteroid1	Shooter / Vector	2	horizontal	asteroid	Asteroids (rev 1)	1979	Atari
asteroid2	Shooter / Vector	2	horizontal	asteroid	Asteroids (rev 2)	1979	Atari
asteroidb1	Shooter / Vector	2	horizontal	asteroid	Asteroids (bootleg on Lunar Lander hardware, set 1)	1979	bootleg
asteroidb2	Shooter / Vector	2	horizontal	asteroid	Asteroids (bootleg on Lunar Lander hardware, set 2)	1979	bootleg
astorm	Run & gun	2	horizontal		Alien Storm (World, 2 Players) (FD1094 317-0154)	1990	Sega
astorm3	Run & gun	3	horizontal	astorm	Alien Storm (World, 3 Players) (FD1094 317-0148)	1990	Sega
astorm3d	Run & gun	3	horizontal	astorm	Alien Storm (World, 3 Players) (bootleg of FD1094 317-0148 set)	1990	bootleg
astormj	Run & gun	2	horizontal	astorm	Alien Storm (Japan, 2 Players) (FD1094 317-0146)	1990	Sega
astormjd	Run & gun	2	horizontal	astorm	Alien Storm (Japan, 2 Players) (bootleg of FD1094 317-0146 set)	1990	bootleg
astormu	Run & gun	3	horizontal	astorm	Alien Storm (US, 3 Players) (FD1094 317-0147)	1990	Sega
astormud	Run & gun	3	horizontal	astorm	Alien Storm (US, 3 Players) (bootleg of FD1094 317-0147 set)	1990	bootleg
astrians	Vertical shooter	2	vertical	galaxian	Astrians (clone of Swarm)	1980	bootleg (BGV Ltd.)
astro_280zzap	Racing	1	horizontal		280 Zzzap / Dodgem (USA)	1978	Bally
astro_adssm	Misc	1	horizontal		ADS System Monitor (Prototype)	19??	<unknown>
astro_amazmaze	Board / Puzzle	2	horizontal		Amazing Maze / Tic-Tac-Toe (USA)	1978	Bally
astro_artiduel	Shooter	2	horizontal		Artillery Duel (USA)	1982	Xonox
astro_artiduelp1	Shooter	2	horizontal	astro_artiduel	Artillery Duel (Prototype)	1982	Xonox
astro_artiduelp2	Shooter	2	horizontal	astro_artiduel	Artillery Duel (Prototype, Alt)	1982	Xonox
astro_artiduelp3	Shooter	2	horizontal	astro_artiduel	Artillery Duel (Prototype, Alt 2)	1982	Xonox
astro_astrobat	Vertical shooter	1	horizontal		Astro Battle (USA)	1979	Bally
astro_ballypin	Pinball	4	horizontal		Bally Pin (USA)	1979	Bally
astro_baseball	Sports	2	horizontal		Tornado Baseball / Handball / Hockey / Tennis (USA)	1978	Bally
astro_biorhy	Misc	1	horizontal		BioRhythm (USA)	1981	Astrovision
astro_blckjack	Card	4	horizontal		Black Jack / Acey Deucey / Poker (USA)	1978	Bally
astro_bowling	Sports	4	horizontal		Bowling (Prototype)	1978	Bally
astro_brckyard	Breakout	4	horizontal		Brickyard / Clowns (USA)	1979	Bally
astro_bstdroid	Multi-directional shooter	2	horizontal		Blast Droids (USA)	1983	Esoterica
astro_buylove	Misc	1	horizontal		Can't Buy Me Love (Prototype)	198?	Richard Degler & George Moses
astro_candyman	Action / Maze	1	horizontal		Candyman (USA)	198?	L&M Software & Mike White
astro_cclimber	Action	1	horizontal		Crazy Climber (HB)	2011	RiffRaff Games
astro_checkers	Board	2	horizontal		Checkers (Prototype)	19??	Bally
astro_claim	Puzzle	4	horizontal		Claim Jumper (USA)	198?	L&M Software & Mike White
astro_colbook	Misc	1	horizontal		Coloring Book (Prototype)	198?	Astrocade Inc.
astro_conan	Action	1	horizontal		Conan The Barbarian! (USA)	1985	Dave Carson Software
astro_conanp	Action	1	horizontal	astro_conan	Conan The Barbarian! (Prototype)	1982	Astrocade Inc.
astro_cosmicrd	Horizontal shooter	4	horizontal		Cosmic Raiders (USA)	1982	Astrocade Inc.
astro_cosmicrd35	Horizontal shooter	4	horizontal	astro_cosmicrd	Cosmic Raiders (Prototype, v3.5)	198?	Astrocade Inc.
astro_cosmicrd36	Horizontal shooter	4	horizontal	astro_cosmicrd	Cosmic Raiders (Prototype, v3.6)	198?	Astrocade Inc.
astro_cosmicrda	Horizontal shooter	4	horizontal	astro_cosmicrd	Cosmic Raiders (Prototype, Alt)	198?	Astrocade Inc.
astro_cosmicrdb	Horizontal shooter	4	horizontal	astro_cosmicrd	Cosmic Raiders (Prototype, Alt 2)	198?	Astrocade Inc.
astro_dealdemo	Misc	1	horizontal		Dealer Demo (USA)	1978	Bally
astro_dogpatch	Action	2	horizontal		Dog Patch (USA)	1978	Bally
astro_eightday	Misc	1	horizontal		Eight Days A Week (Prototype)	198?	Richard Degler & George Moses
astro_fawn	RPG	1	horizontal		Fawn Dungeon (Prototype, first version)	1981	Barry McCleave
astro_fawna	RPG	1	horizontal	astro_fawn	Fawn Dungeon (Prototype, second version)	1981	Barry McCleave
astro_feelfine	Misc	1	horizontal		I Feel Fine (Prototype)	198?	Richard Degler & George Moses
astro_football	Sports	4	horizontal		Football (USA)	1978	Bally
astro_galactic	Vertical shooter	4	horizontal		Galactic Invasion (USA)	1981	Astrocade Inc.
astro_galaxian	Vertical shooter	4	horizontal	astro_galactic	Galaxian (USA)	1981	Astrocade Inc.
astro_golddig	Misc	1	horizontal		Golddigger / Goldrush (Prototype)	1984	Dave Carson & Ken Lill
astro_golddiga	Misc	1	horizontal	astro_golddig	Golddigger / Goldrush (Prototype, Alt)	1984	Dave Carson & Ken Lill
astro_golddigb	Misc	2	horizontal	astro_golddig	Golddigger / Goldrush (Prototype, Alt 2)	1984	Dave Carson & Ken Lill
astro_grandprx	Racing	4	horizontal		Grand Prix / Demolition Derby (USA)	1981	Astrovision Inc.
astro_hardday	Misc	1	horizontal		Hard Day's Night, A (Prototype)	198?	Richard Degler & George Moses
astro_icbmatk	Shooter	4	horizontal		ICBM Attack (USA)	1982	Spectre Systems
astro_icbmatkp	Shooter	4	horizontal	astro_icbmatk	ICBM Attack (Prototype)	1982	Spectre Systems
astro_letitbe	Misc	1	horizontal		Let It Be (Prototype)	198?	Richard Degler & George Moses
astro_life	Misc	1	horizontal		Life (USA)	1985	Richard Degler
astro_lttrmtch	Puzzle	4	horizontal		Letter Match / Spell 'n Score / Crosswords (USA)	1978	Bally
astro_matk	Shooter	4	horizontal		Missile Attack (USA)	1985	Spectre Systems & Mike White
astro_mazeman	Action / Maze	4	horizontal		Mazeman (USA)	1984	Dave Carson Software
astro_mazemanp	Action / Maze	4	horizontal	astro_mazeman	Mazeman (Prototype)	1984	Dave Carson Software
astro_mlangman	Misc	1	horizontal		Machine Language Manager (USA)	1982	The Bit Fiddlers
astro_mscandy	Action / Maze	2	horizontal		Ms. Candyman (USA)	1983	L&M Software
astro_muncher	Action / Maze	4	horizontal		Muncher (USA)	1983	Astrocade Inc.
astro_musicmak	Misc	1	horizontal		Music Maker (USA)	1985	Dave Carson Software
astro_musicmakp	Misc	1	horizontal	astro_musicmak	Music Maker (Prototype, v3.7)	1982	Astrocade Inc.
astro_musicmakp2	Misc	1	horizontal	astro_musicmak	Music Maker (Prototype, Alt)	1982	Astrocade Inc.
astro_nodie	Action / Maze	4	horizontal	astro_muncher	No-Die! (USA)	1984	Dave Carson & Mike White
astro_pacman	Action / Maze	4	horizontal		Pac-Man (Prototype)	198?	Astrocade Inc.
astro_pacmana	Action / Maze	4	horizontal	astro_pacman	Pac-Man (Prototype, Alt)	198?	Astrocade Inc.
astro_pacmaze	Action / Maze	4	horizontal	astro_mscandy	Pacmaze (Prototype)	198?	Dave Carson Software
astro_paperbck	Misc	1	horizontal		Paperback Writer (Prototype)	198?	Richard Degler & George Moses
astro_pirate	Action / Maze	2	horizontal		Pirate's Chase (USA)	1982	Astrocade Inc.
astro_rainbow2	Misc	1	horizontal		Rainbow v2 (Prototype)	19??	Hanson
astro_redbaron	Multi-directional shooter	4	horizontal		Red Baron / Panzer Attack (USA)	1978	Bally
astro_seadevil	Horizontal shooter	1	horizontal		Sea Devil (USA)	1983	L&M Software
astro_seawolf	Vertical shooter	2	horizontal		Seawolf / Missile (USA)	1978	Bally
astro_sheloves	Misc	1	horizontal		She Loves You (Prototype)	198?	Richard Degler & George Moses
astro_sloshed	Maze	4	horizontal		Sloshed! (USA)	1982-86	New Image
astro_sneaky	Vertical shooter	4	horizontal		Sneaky Snake (USA)	1983	New Image
astro_soccer	Football	4	horizontal		Soccer (USA)	1985	Astrocade Inc.
astro_soccera	Football	4	horizontal	astro_soccer	Socer (Prototype, Alt)	198?	Astrocade Inc.
astro_soccera2	Football	4	horizontal	astro_soccer	Socer (Prototype, Alt 2)	198?	Astrocade Inc.
astro_soccera3	Football	4	horizontal	astro_soccer	Soccer (Prototype, Alt 3)	198?	Astrocade Inc.
astro_soccera4	Football	4	horizontal	astro_soccer	Soccer (Prototype, Alt 4)	198?	Astrocade Inc.
astro_soccerp	Football	4	horizontal	astro_soccer	Soccer (Prototype)	198?	Astrocade Inc.
astro_solarcnq	Multi-directional shooter	4	horizontal		Solar Conqueror (USA)	1982	Astrocade Inc.
astro_solarcnqp	Multi-directional shooter	4	horizontal	astro_solarcnq	Solar Conqueror (Prototype)	1982	Astrocade Inc.
astro_solarcnqp28	Multi-directional shooter	4	horizontal	astro_solarcnq	Solar Conqueror (Prototype, v2.8)	198?	Astrocade Inc.
astro_solarcnqp39	Multi-directional shooter	4	horizontal	astro_solarcnq	Solar Conqueror (Prototype, v3.9)	198?	Astrocade Inc.
astro_songs	Misc	1	horizontal		Songs (Prototype)	19??	Bally
astro_songsa	Misc	1	horizontal	astro_songs	Songs (Prototype, Alt)	19??	Bally
astro_songsu	Misc	1	horizontal	astro_songs	Songs (Prototype, unfinished)	19??	Bally
astro_spacefrt	Multi-directional shooter	4	horizontal		Space Fortress (USA)	1981	Astrocade Inc.
astro_spacefrtp	Multi-directional shooter	4	horizontal	astro_spacefrt	Space Fortress (Prototype)	1981	Astrocade Inc.
astro_spaceinv	Vertical shooter	1	horizontal		Space Invaders (USA)	1979	Bally
astro_spaceinvp	Vertical shooter	1	horizontal	astro_spaceinv	Space Invaders (Prototype)	197?	Bally
astro_spedmath	Puzzle	1	horizontal		Speed Math / Bingo Math (USA)	1978	Bally
astro_sslope	Sports	1	horizontal		Super Slope (USA)	1982	Esoterica
astro_starbttl	Shooter	1	horizontal		Star Battle (USA)	1979	Bally
astro_stweek	Misc	1	horizontal		Stweek (USA)	19??	Bally
astro_tests	Misc	1	horizontal		Tests (USA)	19??	Bally
astro_treasure	Action	4	horizontal		Treasure Cove (USA)	1983	Spectre System
astro_treasurep	Action	4	horizontal	astro_treasure	Treasure Cove (Prototype)	198?	Spectre Systems
astro_vidstory	Misc	1	horizontal		Video Story Book (Prototype)	19??	<unknown>
astro_war	Breakout	4	horizontal		War (second printing) (HB)	2012	RiffRaff Games
astro_wizard	Maze / Run & gun	2	horizontal		Incredible Wizard, The (USA)	1982	Astrocade Inc.
astro_yesternv	Misc	1	horizontal	astro_yesterv	Yesterday (Prototype, no vibrato)	198?	Richard Degler & George Moses
astro_yesterv	Misc	1	horizontal		Yesterday (Prototype, with vibrato)	198?	Richard Degler & George Moses
astro_ziggyjx	Misc	1	horizontal		Fun With Vectors - Ziggy (Prototype JX label)	1985	Richard Degler
astro_ziggymo	Misc	1	horizontal	astro_ziggyjx	Fun With Vectors - Ziggy (Prototype MO label)	1985	Richard Degler
astrob	Vertical shooter	2	vertical		Astro Blaster (version 3)	1981	Sega
astrob2	Vertical shooter	2	vertical	astrob	Astro Blaster (version 2)	1981	Sega
astrob2a	Vertical shooter	2	vertical	astrob	Astro Blaster (version 2a)	1981	Sega
astrob2b	Vertical shooter	2	vertical	astrob	Astro Blaster (version 2b)	1981	Sega
astrob2h	Vertical shooter	2	vertical	astrob	Astro Blaster (version 2 Hack)	1981	Sega
astrobf	Vertical shooter	2	vertical	astrob	Astro Blaster (French)	1981	Sega
astrobg	Vertical shooter	2	vertical	astrob	Astro Blaster (German)	1981	Sega
astrofl	Horizontal shooter	2	horizontal	transfrm	Astro Flash (Japan)	1986	Sega
astyanax	Beat 'em up	2	horizontal		The Astyanax (EPROM version)	1989	Jaleco
astyanaxa	Beat 'em up	2	horizontal	astyanax	The Astyanax (mask ROM version)	1989	Jaleco
asuka	Vertical shooter	2	vertical		Asuka & Asuka (World)	1988	Taito
asukaj	Vertical shooter	2	vertical	asuka	Asuka & Asuka (Japan, rev 1)	1988	Taito
asukaja	Vertical shooter	2	vertical	asuka	Asuka & Asuka (Japan)	1988	Taito
asurabld	Fighting	2	horizontal		Asura Blade - Sword of Dynasty (Japan)	1998	Fuuki
asurabus	Fighting	2	horizontal		Asura Buster - Eternal Warriors (USA)	2001	Fuuki
asurabusj	Fighting	2	horizontal	asurabus	Asura Buster - Eternal Warriors (Japan, set 1)	2000	Fuuki
